#string_protein_id	preferred_name	protein_size	annotation
1131269.AQVV01000001_gene1393	AQVV01000001_gene1393	96	annotation not available
1131269.AQVV01000001_gene1394	AQVV01000001_gene1394	232	annotation not available
1131269.AQVV01000001_gene1395	AQVV01000001_gene1395	236	annotation not available
1131269.AQVV01000001_gene1396	AQVV01000001_gene1396	328	annotation not available
1131269.AQVV01000001_gene1397	AQVV01000001_gene1397	298	annotation not available
1131269.AQVV01000001_gene1398	AQVV01000001_gene1398	267	annotation not available
1131269.AQVV01000001_gene1399	AQVV01000001_gene1399	239	annotation not available
1131269.AQVV01000001_gene1400	AQVV01000001_gene1400	240	annotation not available
1131269.AQVV01000001_gene1401	AQVV01000001_gene1401	79	annotation not available
1131269.AQVV01000001_gene1402	AQVV01000001_gene1402	173	annotation not available
1131269.AQVV01000001_gene1403	AQVV01000001_gene1403	106	annotation not available
1131269.AQVV01000001_gene1404	AQVV01000001_gene1404	77	annotation not available
1131269.AQVV01000001_gene1405	AQVV01000001_gene1405	113	annotation not available
1131269.AQVV01000001_gene1406	AQVV01000001_gene1406	573	annotation not available
1131269.AQVV01000001_gene1407	AQVV01000001_gene1407	564	annotation not available
1131269.AQVV01000001_gene1408	AQVV01000001_gene1408	310	annotation not available
1131269.AQVV01000001_gene1409	AQVV01000001_gene1409	272	annotation not available
1131269.AQVV01000001_gene1410	AQVV01000001_gene1410	425	annotation not available
1131269.AQVV01000001_gene1411	AQVV01000001_gene1411	1153	annotation not available
1131269.AQVV01000001_gene1412	AQVV01000001_gene1412	396	annotation not available
1131269.AQVV01000001_gene1413	AQVV01000001_gene1413	870	annotation not available
1131269.AQVV01000001_gene1414	AQVV01000001_gene1414	614	annotation not available
1131269.AQVV01000001_gene1415	AQVV01000001_gene1415	664	annotation not available
1131269.AQVV01000001_gene1416	AQVV01000001_gene1416	469	annotation not available
1131269.AQVV01000001_gene1417	AQVV01000001_gene1417	602	annotation not available
1131269.AQVV01000001_gene1418	AQVV01000001_gene1418	205	annotation not available
1131269.AQVV01000001_gene1419	AQVV01000001_gene1419	434	annotation not available
1131269.AQVV01000001_gene1420	AQVV01000001_gene1420	588	annotation not available
1131269.AQVV01000001_gene1421	AQVV01000001_gene1421	315	annotation not available
1131269.AQVV01000001_gene1422	AQVV01000001_gene1422	90	annotation not available
1131269.AQVV01000001_gene1423	AQVV01000001_gene1423	225	annotation not available
1131269.AQVV01000001_gene1424	AQVV01000001_gene1424	646	annotation not available
1131269.AQVV01000001_gene1425	AQVV01000001_gene1425	249	annotation not available
1131269.AQVV01000001_gene1426	AQVV01000001_gene1426	292	annotation not available
1131269.AQVV01000001_gene1427	AQVV01000001_gene1427	372	annotation not available
1131269.AQVV01000001_gene1428	AQVV01000001_gene1428	142	annotation not available
1131269.AQVV01000001_gene1429	AQVV01000001_gene1429	148	annotation not available
1131269.AQVV01000001_gene1430	AQVV01000001_gene1430	125	annotation not available
1131269.AQVV01000001_gene1431	AQVV01000001_gene1431	35	annotation not available
1131269.AQVV01000001_gene1432	AQVV01000001_gene1432	187	annotation not available
1131269.AQVV01000001_gene1433	AQVV01000001_gene1433	352	annotation not available
1131269.AQVV01000001_gene1434	AQVV01000001_gene1434	108	annotation not available
1131269.AQVV01000001_gene1435	AQVV01000001_gene1435	311	annotation not available
1131269.AQVV01000001_gene1436	AQVV01000001_gene1436	108	annotation not available
1131269.AQVV01000001_gene1437	AQVV01000001_gene1437	156	annotation not available
1131269.AQVV01000001_gene1438	AQVV01000001_gene1438	411	annotation not available
1131269.AQVV01000001_gene1439	AQVV01000001_gene1439	379	annotation not available
1131269.AQVV01000001_gene1440	AQVV01000001_gene1440	245	annotation not available
1131269.AQVV01000001_gene1441	AQVV01000001_gene1441	430	annotation not available
1131269.AQVV01000001_gene1442	AQVV01000001_gene1442	712	annotation not available
1131269.AQVV01000001_gene1443	AQVV01000001_gene1443	63	annotation not available
1131269.AQVV01000001_gene1444	AQVV01000001_gene1444	124	annotation not available
1131269.AQVV01000001_gene1445	AQVV01000001_gene1445	221	annotation not available
1131269.AQVV01000001_gene1446	AQVV01000001_gene1446	568	annotation not available
1131269.AQVV01000001_gene1447	AQVV01000001_gene1447	428	annotation not available
1131269.AQVV01000001_gene1448	AQVV01000001_gene1448	138	annotation not available
1131269.AQVV01000001_gene1449	AQVV01000001_gene1449	389	annotation not available
1131269.AQVV01000001_gene1450	AQVV01000001_gene1450	301	annotation not available
1131269.AQVV01000001_gene1451	AQVV01000001_gene1451	431	annotation not available
1131269.AQVV01000001_gene1452	AQVV01000001_gene1452	143	annotation not available
1131269.AQVV01000001_gene1453	AQVV01000001_gene1453	281	annotation not available
1131269.AQVV01000001_gene1454	AQVV01000001_gene1454	62	annotation not available
1131269.AQVV01000001_gene1455	AQVV01000001_gene1455	250	annotation not available
1131269.AQVV01000001_gene1456	AQVV01000001_gene1456	457	annotation not available
1131269.AQVV01000001_gene1457	AQVV01000001_gene1457	466	annotation not available
1131269.AQVV01000001_gene1458	AQVV01000001_gene1458	99	annotation not available
1131269.AQVV01000001_gene1459	AQVV01000001_gene1459	145	annotation not available
1131269.AQVV01000001_gene1460	AQVV01000001_gene1460	100	annotation not available
1131269.AQVV01000001_gene1461	AQVV01000001_gene1461	345	annotation not available
1131269.AQVV01000001_gene1462	AQVV01000001_gene1462	330	annotation not available
1131269.AQVV01000001_gene1463	AQVV01000001_gene1463	225	annotation not available
1131269.AQVV01000001_gene1464	AQVV01000001_gene1464	344	annotation not available
1131269.AQVV01000001_gene1465	AQVV01000001_gene1465	877	annotation not available
1131269.AQVV01000001_gene1466	AQVV01000001_gene1466	190	annotation not available
1131269.AQVV01000001_gene1467	AQVV01000001_gene1467	303	annotation not available
1131269.AQVV01000001_gene1468	AQVV01000001_gene1468	640	annotation not available
1131269.AQVV01000001_gene1469	AQVV01000001_gene1469	864	annotation not available
1131269.AQVV01000001_gene1470	AQVV01000001_gene1470	89	annotation not available
1131269.AQVV01000001_gene1471	AQVV01000001_gene1471	156	annotation not available
1131269.AQVV01000001_gene1472	AQVV01000001_gene1472	428	annotation not available
1131269.AQVV01000001_gene1473	AQVV01000001_gene1473	152	annotation not available
1131269.AQVV01000001_gene1474	AQVV01000001_gene1474	417	annotation not available
1131269.AQVV01000001_gene1475	AQVV01000001_gene1475	415	annotation not available
1131269.AQVV01000002_gene1157	AQVV01000002_gene1157	151	annotation not available
1131269.AQVV01000002_gene1158	AQVV01000002_gene1158	329	annotation not available
1131269.AQVV01000002_gene1159	AQVV01000002_gene1159	209	annotation not available
1131269.AQVV01000002_gene1160	AQVV01000002_gene1160	355	annotation not available
1131269.AQVV01000002_gene1161	AQVV01000002_gene1161	342	annotation not available
1131269.AQVV01000002_gene1162	AQVV01000002_gene1162	241	annotation not available
1131269.AQVV01000002_gene1163	AQVV01000002_gene1163	428	annotation not available
1131269.AQVV01000002_gene1164	AQVV01000002_gene1164	501	annotation not available
1131269.AQVV01000002_gene1165	AQVV01000002_gene1165	528	annotation not available
1131269.AQVV01000002_gene1166	AQVV01000002_gene1166	208	annotation not available
1131269.AQVV01000002_gene1167	AQVV01000002_gene1167	102	annotation not available
1131269.AQVV01000002_gene1168	AQVV01000002_gene1168	92	annotation not available
1131269.AQVV01000002_gene1169	AQVV01000002_gene1169	698	annotation not available
1131269.AQVV01000002_gene1170	AQVV01000002_gene1170	702	annotation not available
1131269.AQVV01000002_gene1171	AQVV01000002_gene1171	74	annotation not available
1131269.AQVV01000002_gene1172	AQVV01000002_gene1172	92	annotation not available
1131269.AQVV01000002_gene1173	AQVV01000002_gene1173	484	annotation not available
1131269.AQVV01000002_gene1174	AQVV01000002_gene1174	242	annotation not available
1131269.AQVV01000002_gene1175	AQVV01000002_gene1175	301	annotation not available
1131269.AQVV01000002_gene1176	AQVV01000002_gene1176	518	annotation not available
1131269.AQVV01000002_gene1177	AQVV01000002_gene1177	108	annotation not available
1131269.AQVV01000002_gene1178	AQVV01000002_gene1178	181	annotation not available
1131269.AQVV01000002_gene1179	AQVV01000002_gene1179	187	annotation not available
1131269.AQVV01000002_gene1180	AQVV01000002_gene1180	557	annotation not available
1131269.AQVV01000002_gene1181	AQVV01000002_gene1181	220	annotation not available
1131269.AQVV01000002_gene1182	AQVV01000002_gene1182	248	annotation not available
1131269.AQVV01000002_gene1183	AQVV01000002_gene1183	167	annotation not available
1131269.AQVV01000002_gene1184	AQVV01000002_gene1184	198	annotation not available
1131269.AQVV01000002_gene1185	AQVV01000002_gene1185	339	annotation not available
1131269.AQVV01000002_gene1186	AQVV01000002_gene1186	285	annotation not available
1131269.AQVV01000002_gene1187	AQVV01000002_gene1187	443	annotation not available
1131269.AQVV01000002_gene1188	AQVV01000002_gene1188	237	annotation not available
1131269.AQVV01000002_gene1189	AQVV01000002_gene1189	526	annotation not available
1131269.AQVV01000002_gene1190	AQVV01000002_gene1190	76	annotation not available
1131269.AQVV01000002_gene1191	AQVV01000002_gene1191	191	annotation not available
1131269.AQVV01000002_gene1192	AQVV01000002_gene1192	194	annotation not available
1131269.AQVV01000002_gene1193	AQVV01000002_gene1193	87	annotation not available
1131269.AQVV01000002_gene1194	AQVV01000002_gene1194	443	annotation not available
1131269.AQVV01000002_gene1195	AQVV01000002_gene1195	160	annotation not available
1131269.AQVV01000002_gene1196	AQVV01000002_gene1196	391	annotation not available
1131269.AQVV01000002_gene1197	AQVV01000002_gene1197	299	annotation not available
1131269.AQVV01000002_gene1198	AQVV01000002_gene1198	137	annotation not available
1131269.AQVV01000002_gene1199	AQVV01000002_gene1199	459	annotation not available
1131269.AQVV01000002_gene1200	AQVV01000002_gene1200	296	annotation not available
1131269.AQVV01000002_gene1201	AQVV01000002_gene1201	109	annotation not available
1131269.AQVV01000002_gene1202	AQVV01000002_gene1202	74	annotation not available
1131269.AQVV01000002_gene1203	AQVV01000002_gene1203	726	annotation not available
1131269.AQVV01000002_gene1204	AQVV01000002_gene1204	711	annotation not available
1131269.AQVV01000002_gene1205	AQVV01000002_gene1205	420	annotation not available
1131269.AQVV01000002_gene1206	AQVV01000002_gene1206	122	annotation not available
1131269.AQVV01000002_gene1207	AQVV01000002_gene1207	707	annotation not available
1131269.AQVV01000002_gene1208	AQVV01000002_gene1208	567	annotation not available
1131269.AQVV01000002_gene1209	AQVV01000002_gene1209	290	annotation not available
1131269.AQVV01000002_gene1210	AQVV01000002_gene1210	473	annotation not available
1131269.AQVV01000002_gene1211	AQVV01000002_gene1211	59	annotation not available
1131269.AQVV01000002_gene1212	AQVV01000002_gene1212	89	annotation not available
1131269.AQVV01000002_gene1213	AQVV01000002_gene1213	301	annotation not available
1131269.AQVV01000002_gene1214	AQVV01000002_gene1214	565	annotation not available
1131269.AQVV01000002_gene1215	AQVV01000002_gene1215	668	annotation not available
1131269.AQVV01000002_gene1216	AQVV01000002_gene1216	299	annotation not available
1131269.AQVV01000002_gene1217	AQVV01000002_gene1217	239	annotation not available
1131269.AQVV01000002_gene1218	AQVV01000002_gene1218	199	annotation not available
1131269.AQVV01000002_gene1219	AQVV01000002_gene1219	59	annotation not available
1131269.AQVV01000002_gene1220	AQVV01000002_gene1220	236	annotation not available
1131269.AQVV01000002_gene1221	AQVV01000002_gene1221	35	annotation not available
1131269.AQVV01000002_gene1222	AQVV01000002_gene1222	57	annotation not available
1131269.AQVV01000002_gene1223	AQVV01000002_gene1223	220	annotation not available
1131269.AQVV01000002_gene1224	AQVV01000002_gene1224	270	annotation not available
1131269.AQVV01000002_gene1225	AQVV01000002_gene1225	195	annotation not available
1131269.AQVV01000002_gene1226	AQVV01000002_gene1226	100	annotation not available
1131269.AQVV01000002_gene1227	AQVV01000002_gene1227	131	annotation not available
1131269.AQVV01000002_gene1228	AQVV01000002_gene1228	263	annotation not available
1131269.AQVV01000002_gene1229	AQVV01000002_gene1229	258	annotation not available
1131269.AQVV01000002_gene1230	AQVV01000002_gene1230	195	annotation not available
1131269.AQVV01000002_gene1231	AQVV01000002_gene1231	449	annotation not available
1131269.AQVV01000002_gene1232	AQVV01000002_gene1232	317	annotation not available
1131269.AQVV01000002_gene1233	AQVV01000002_gene1233	594	annotation not available
1131269.AQVV01000002_gene1234	AQVV01000002_gene1234	210	annotation not available
1131269.AQVV01000002_gene1235	AQVV01000002_gene1235	592	annotation not available
1131269.AQVV01000002_gene1236	AQVV01000002_gene1236	396	annotation not available
1131269.AQVV01000002_gene1237	AQVV01000002_gene1237	278	annotation not available
1131269.AQVV01000002_gene1238	AQVV01000002_gene1238	119	annotation not available
1131269.AQVV01000002_gene1239	AQVV01000002_gene1239	517	annotation not available
1131269.AQVV01000002_gene1240	AQVV01000002_gene1240	56	annotation not available
1131269.AQVV01000002_gene1241	AQVV01000002_gene1241	76	annotation not available
1131269.AQVV01000002_gene1242	AQVV01000002_gene1242	327	annotation not available
1131269.AQVV01000002_gene1243	AQVV01000002_gene1243	538	annotation not available
1131269.AQVV01000002_gene1244	AQVV01000002_gene1244	338	annotation not available
1131269.AQVV01000002_gene1245	AQVV01000002_gene1245	494	annotation not available
1131269.AQVV01000002_gene1246	AQVV01000002_gene1246	232	annotation not available
1131269.AQVV01000002_gene1247	AQVV01000002_gene1247	147	annotation not available
1131269.AQVV01000002_gene1248	AQVV01000002_gene1248	262	annotation not available
1131269.AQVV01000002_gene1249	AQVV01000002_gene1249	156	annotation not available
1131269.AQVV01000002_gene1250	AQVV01000002_gene1250	333	annotation not available
1131269.AQVV01000002_gene1251	AQVV01000002_gene1251	293	annotation not available
1131269.AQVV01000002_gene1252	AQVV01000002_gene1252	434	annotation not available
1131269.AQVV01000002_gene1253	AQVV01000002_gene1253	101	annotation not available
1131269.AQVV01000002_gene1254	AQVV01000002_gene1254	718	annotation not available
1131269.AQVV01000002_gene1255	AQVV01000002_gene1255	533	annotation not available
1131269.AQVV01000002_gene1256	AQVV01000002_gene1256	200	annotation not available
1131269.AQVV01000002_gene1257	AQVV01000002_gene1257	271	annotation not available
1131269.AQVV01000002_gene1258	AQVV01000002_gene1258	355	annotation not available
1131269.AQVV01000002_gene1259	AQVV01000002_gene1259	234	annotation not available
1131269.AQVV01000002_gene1260	AQVV01000002_gene1260	320	annotation not available
1131269.AQVV01000002_gene1261	AQVV01000002_gene1261	200	annotation not available
1131269.AQVV01000002_gene1262	AQVV01000002_gene1262	521	annotation not available
1131269.AQVV01000002_gene1263	AQVV01000002_gene1263	259	annotation not available
1131269.AQVV01000002_gene1264	AQVV01000002_gene1264	227	annotation not available
1131269.AQVV01000002_gene1265	AQVV01000002_gene1265	364	annotation not available
1131269.AQVV01000002_gene1266	AQVV01000002_gene1266	326	annotation not available
1131269.AQVV01000002_gene1267	AQVV01000002_gene1267	510	annotation not available
1131269.AQVV01000002_gene1268	AQVV01000002_gene1268	211	annotation not available
1131269.AQVV01000002_gene1269	AQVV01000002_gene1269	367	annotation not available
1131269.AQVV01000002_gene1270	AQVV01000002_gene1270	172	annotation not available
1131269.AQVV01000002_gene1271	AQVV01000002_gene1271	89	annotation not available
1131269.AQVV01000002_gene1272	AQVV01000002_gene1272	709	annotation not available
1131269.AQVV01000002_gene1273	AQVV01000002_gene1273	381	annotation not available
1131269.AQVV01000002_gene1274	AQVV01000002_gene1274	140	annotation not available
1131269.AQVV01000002_gene1275	AQVV01000002_gene1275	234	annotation not available
1131269.AQVV01000002_gene1276	AQVV01000002_gene1276	691	annotation not available
1131269.AQVV01000003_gene658	AQVV01000003_gene658	164	annotation not available
1131269.AQVV01000003_gene659	AQVV01000003_gene659	169	annotation not available
1131269.AQVV01000003_gene660	AQVV01000003_gene660	442	annotation not available
1131269.AQVV01000003_gene661	AQVV01000003_gene661	180	annotation not available
1131269.AQVV01000003_gene662	AQVV01000003_gene662	471	annotation not available
1131269.AQVV01000003_gene663	AQVV01000003_gene663	226	annotation not available
1131269.AQVV01000003_gene664	AQVV01000003_gene664	314	annotation not available
1131269.AQVV01000003_gene665	AQVV01000003_gene665	608	annotation not available
1131269.AQVV01000003_gene666	AQVV01000003_gene666	524	annotation not available
1131269.AQVV01000003_gene667	AQVV01000003_gene667	203	annotation not available
1131269.AQVV01000003_gene668	AQVV01000003_gene668	171	annotation not available
1131269.AQVV01000003_gene669	AQVV01000003_gene669	497	annotation not available
1131269.AQVV01000003_gene670	AQVV01000003_gene670	86	annotation not available
1131269.AQVV01000003_gene671	AQVV01000003_gene671	221	annotation not available
1131269.AQVV01000003_gene672	AQVV01000003_gene672	316	annotation not available
1131269.AQVV01000003_gene673	AQVV01000003_gene673	140	annotation not available
1131269.AQVV01000003_gene674	AQVV01000003_gene674	202	annotation not available
1131269.AQVV01000003_gene675	AQVV01000003_gene675	268	annotation not available
1131269.AQVV01000003_gene676	AQVV01000003_gene676	596	annotation not available
1131269.AQVV01000003_gene677	AQVV01000003_gene677	80	annotation not available
1131269.AQVV01000003_gene678	AQVV01000003_gene678	450	annotation not available
1131269.AQVV01000003_gene679	AQVV01000003_gene679	82	annotation not available
1131269.AQVV01000003_gene680	AQVV01000003_gene680	78	annotation not available
1131269.AQVV01000003_gene681	AQVV01000003_gene681	94	annotation not available
1131269.AQVV01000003_gene682	AQVV01000003_gene682	338	annotation not available
1131269.AQVV01000003_gene683	AQVV01000003_gene683	236	annotation not available
1131269.AQVV01000003_gene684	AQVV01000003_gene684	412	annotation not available
1131269.AQVV01000003_gene685	AQVV01000003_gene685	77	annotation not available
1131269.AQVV01000003_gene686	AQVV01000003_gene686	246	annotation not available
1131269.AQVV01000003_gene687	AQVV01000003_gene687	319	annotation not available
1131269.AQVV01000003_gene688	AQVV01000003_gene688	333	annotation not available
1131269.AQVV01000003_gene689	AQVV01000003_gene689	362	annotation not available
1131269.AQVV01000003_gene690	AQVV01000003_gene690	60	annotation not available
1131269.AQVV01000003_gene691	AQVV01000003_gene691	179	annotation not available
1131269.AQVV01000003_gene692	AQVV01000003_gene692	293	annotation not available
1131269.AQVV01000003_gene693	AQVV01000003_gene693	329	annotation not available
1131269.AQVV01000003_gene694	AQVV01000003_gene694	420	annotation not available
1131269.AQVV01000003_gene695	AQVV01000003_gene695	142	annotation not available
1131269.AQVV01000003_gene696	AQVV01000003_gene696	303	annotation not available
1131269.AQVV01000003_gene697	AQVV01000003_gene697	853	annotation not available
1131269.AQVV01000003_gene698	AQVV01000003_gene698	658	annotation not available
1131269.AQVV01000003_gene699	AQVV01000003_gene699	146	annotation not available
1131269.AQVV01000003_gene700	AQVV01000003_gene700	133	annotation not available
1131269.AQVV01000003_gene701	AQVV01000003_gene701	128	annotation not available
1131269.AQVV01000003_gene702	AQVV01000003_gene702	104	annotation not available
1131269.AQVV01000003_gene703	AQVV01000003_gene703	141	annotation not available
1131269.AQVV01000003_gene704	AQVV01000003_gene704	945	annotation not available
1131269.AQVV01000003_gene705	AQVV01000003_gene705	433	annotation not available
1131269.AQVV01000003_gene706	AQVV01000003_gene706	295	annotation not available
1131269.AQVV01000003_gene707	AQVV01000003_gene707	349	annotation not available
1131269.AQVV01000003_gene708	AQVV01000003_gene708	553	annotation not available
1131269.AQVV01000003_gene709	AQVV01000003_gene709	690	annotation not available
1131269.AQVV01000003_gene710	AQVV01000003_gene710	465	annotation not available
1131269.AQVV01000003_gene711	AQVV01000003_gene711	935	annotation not available
