#string_protein_id	preferred_name	protein_size	annotation
1121377.KB906398_gene2122	KB906398_gene2122	333	annotation not available
1121377.KB906398_gene2123	KB906398_gene2123	131	annotation not available
1121377.KB906398_gene2124	KB906398_gene2124	145	annotation not available
1121377.KB906398_gene2125	KB906398_gene2125	336	annotation not available
1121377.KB906398_gene2126	KB906398_gene2126	274	annotation not available
1121377.KB906398_gene2127	KB906398_gene2127	280	annotation not available
1121377.KB906398_gene2128	KB906398_gene2128	277	annotation not available
1121377.KB906398_gene2129	KB906398_gene2129	259	annotation not available
1121377.KB906398_gene2130	KB906398_gene2130	267	annotation not available
1121377.KB906398_gene2131	KB906398_gene2131	240	annotation not available
1121377.KB906398_gene2132	KB906398_gene2132	183	annotation not available
1121377.KB906398_gene2133	KB906398_gene2133	280	annotation not available
1121377.KB906398_gene2134	KB906398_gene2134	388	annotation not available
1121377.KB906398_gene2135	KB906398_gene2135	372	annotation not available
1121377.KB906398_gene2136	KB906398_gene2136	152	annotation not available
1121377.KB906398_gene2137	KB906398_gene2137	219	annotation not available
1121377.KB906398_gene2138	KB906398_gene2138	269	annotation not available
1121377.KB906398_gene2139	KB906398_gene2139	370	annotation not available
1121377.KB906398_gene2140	KB906398_gene2140	363	annotation not available
1121377.KB906398_gene2141	KB906398_gene2141	285	annotation not available
1121377.KB906398_gene2142	KB906398_gene2142	609	annotation not available
1121377.KB906398_gene2143	KB906398_gene2143	168	annotation not available
1121377.KB906398_gene2144	KB906398_gene2144	180	annotation not available
1121377.KB906398_gene2145	KB906398_gene2145	67	annotation not available
1121377.KB906398_gene2146	KB906398_gene2146	613	annotation not available
1121377.KB906398_gene2147	KB906398_gene2147	351	annotation not available
1121377.KB906398_gene2148	KB906398_gene2148	169	annotation not available
1121377.KB906398_gene2149	KB906398_gene2149	405	annotation not available
1121377.KB906398_gene2150	KB906398_gene2150	431	annotation not available
1121377.KB906398_gene2151	KB906398_gene2151	1027	annotation not available
1121377.KB906398_gene2152	KB906398_gene2152	282	annotation not available
1121377.KB906398_gene2153	KB906398_gene2153	409	annotation not available
1121377.KB906398_gene2154	KB906398_gene2154	160	annotation not available
1121377.KB906398_gene2155	KB906398_gene2155	266	annotation not available
1121377.KB906398_gene2156	KB906398_gene2156	425	annotation not available
1121377.KB906398_gene2157	KB906398_gene2157	305	annotation not available
1121377.KB906398_gene2158	KB906398_gene2158	86	annotation not available
1121377.KB906398_gene2159	KB906398_gene2159	34	annotation not available
1121377.KB906398_gene2160	KB906398_gene2160	276	annotation not available
1121377.KB906398_gene2161	KB906398_gene2161	323	annotation not available
1121377.KB906398_gene2162	KB906398_gene2162	99	annotation not available
1121377.KB906398_gene2163	KB906398_gene2163	113	annotation not available
1121377.KB906398_gene2164	KB906398_gene2164	116	annotation not available
1121377.KB906398_gene2165	KB906398_gene2165	120	annotation not available
1121377.KB906398_gene2166	KB906398_gene2166	516	annotation not available
1121377.KB906398_gene2167	KB906398_gene2167	849	annotation not available
1121377.KB906398_gene2168	KB906398_gene2168	214	annotation not available
1121377.KB906398_gene2169	KB906398_gene2169	260	annotation not available
1121377.KB906398_gene2170	KB906398_gene2170	355	annotation not available
1121377.KB906398_gene2171	KB906398_gene2171	412	annotation not available
1121377.KB906398_gene2172	KB906398_gene2172	232	annotation not available
1121377.KB906398_gene2173	KB906398_gene2173	277	annotation not available
1121377.KB906398_gene2174	KB906398_gene2174	240	annotation not available
1121377.KB906398_gene2175	KB906398_gene2175	67	annotation not available
1121377.KB906398_gene2176	KB906398_gene2176	287	annotation not available
1121377.KB906398_gene2177	KB906398_gene2177	267	annotation not available
1121377.KB906398_gene2178	KB906398_gene2178	335	annotation not available
1121377.KB906398_gene2179	KB906398_gene2179	198	annotation not available
1121377.KB906398_gene2180	KB906398_gene2180	171	annotation not available
1121377.KB906398_gene2181	KB906398_gene2181	414	annotation not available
1121377.KB906398_gene2182	KB906398_gene2182	353	annotation not available
1121377.KB906398_gene2183	KB906398_gene2183	382	annotation not available
1121377.KB906398_gene2184	KB906398_gene2184	163	annotation not available
1121377.KB906398_gene2185	KB906398_gene2185	325	annotation not available
1121377.KB906398_gene2186	KB906398_gene2186	393	annotation not available
1121377.KB906398_gene2187	KB906398_gene2187	140	annotation not available
1121377.KB906398_gene2188	KB906398_gene2188	691	annotation not available
1121377.KB906398_gene2189	KB906398_gene2189	329	annotation not available
1121377.KB906398_gene2190	KB906398_gene2190	148	annotation not available
1121377.KB906398_gene2191	KB906398_gene2191	302	annotation not available
1121377.KB906398_gene2192	KB906398_gene2192	267	annotation not available
1121377.KB906398_gene2193	KB906398_gene2193	173	annotation not available
1121377.KB906398_gene2194	KB906398_gene2194	436	annotation not available
1121377.KB906398_gene2195	KB906398_gene2195	392	annotation not available
1121377.KB906398_gene2196	KB906398_gene2196	250	annotation not available
1121377.KB906398_gene2197	KB906398_gene2197	259	annotation not available
1121377.KB906398_gene2198	KB906398_gene2198	353	annotation not available
1121377.KB906398_gene2199	KB906398_gene2199	354	annotation not available
1121377.KB906398_gene2200	KB906398_gene2200	128	annotation not available
1121377.KB906398_gene2201	KB906398_gene2201	148	annotation not available
1121377.KB906398_gene2202	KB906398_gene2202	422	annotation not available
1121377.KB906398_gene2203	KB906398_gene2203	218	annotation not available
1121377.KB906398_gene2204	KB906398_gene2204	379	annotation not available
1121377.KB906398_gene2205	KB906398_gene2205	380	annotation not available
1121377.KB906398_gene2206	KB906398_gene2206	324	annotation not available
1121377.KB906398_gene2207	KB906398_gene2207	310	annotation not available
1121377.KB906398_gene2208	KB906398_gene2208	259	annotation not available
1121377.KB906398_gene2209	KB906398_gene2209	236	annotation not available
1121377.KB906398_gene2210	KB906398_gene2210	320	annotation not available
1121377.KB906398_gene2211	KB906398_gene2211	87	annotation not available
1121377.KB906398_gene2212	KB906398_gene2212	682	annotation not available
1121377.KB906398_gene2213	KB906398_gene2213	611	annotation not available
1121377.KB906398_gene2214	KB906398_gene2214	413	annotation not available
1121377.KB906398_gene2215	KB906398_gene2215	197	annotation not available
1121377.KB906398_gene2216	KB906398_gene2216	796	annotation not available
1121377.KB906398_gene2217	KB906398_gene2217	675	annotation not available
1121377.KB906398_gene2218	KB906398_gene2218	280	annotation not available
1121377.KB906398_gene2219	KB906398_gene2219	444	annotation not available
1121377.KB906398_gene2220	KB906398_gene2220	251	annotation not available
1121377.KB906398_gene2221	KB906398_gene2221	297	annotation not available
1121377.KB906398_gene2222	KB906398_gene2222	419	annotation not available
1121377.KB906398_gene2223	KB906398_gene2223	219	annotation not available
1121377.KB906398_gene2224	KB906398_gene2224	459	annotation not available
1121377.KB906398_gene2225	KB906398_gene2225	471	annotation not available
1121377.KB906398_gene2226	KB906398_gene2226	353	annotation not available
1121377.KB906398_gene2227	KB906398_gene2227	426	annotation not available
1121377.KB906398_gene2228	KB906398_gene2228	115	annotation not available
1121377.KB906398_gene2229	KB906398_gene2229	85	annotation not available
1121377.KB906398_gene2230	KB906398_gene2230	457	annotation not available
1121377.KB906398_gene2231	KB906398_gene2231	120	annotation not available
1121377.KB906398_gene2232	KB906398_gene2232	240	annotation not available
1121377.KB906398_gene2233	KB906398_gene2233	386	annotation not available
1121377.KB906398_gene2234	KB906398_gene2234	565	annotation not available
1121377.KB906398_gene2235	KB906398_gene2235	367	annotation not available
1121377.KB906398_gene2236	KB906398_gene2236	265	annotation not available
1121377.KB906398_gene2237	KB906398_gene2237	242	annotation not available
1121377.KB906398_gene2238	KB906398_gene2238	447	annotation not available
1121377.KB906398_gene2239	KB906398_gene2239	115	annotation not available
1121377.KB906398_gene2240	KB906398_gene2240	710	annotation not available
1121377.KB906398_gene2241	KB906398_gene2241	216	annotation not available
1121377.KB906398_gene2242	KB906398_gene2242	353	annotation not available
1121377.KB906398_gene2243	KB906398_gene2243	309	annotation not available
1121377.KB906398_gene2244	KB906398_gene2244	412	annotation not available
1121377.KB906398_gene2245	KB906398_gene2245	657	annotation not available
1121377.KB906398_gene2246	KB906398_gene2246	330	annotation not available
1121377.KB906398_gene2247	KB906398_gene2247	216	annotation not available
1121377.KB906398_gene2248	KB906398_gene2248	321	annotation not available
1121377.KB906398_gene2249	KB906398_gene2249	296	annotation not available
1121377.KB906398_gene2250	KB906398_gene2250	283	annotation not available
1121377.KB906398_gene2251	KB906398_gene2251	307	annotation not available
1121377.KB906398_gene2252	KB906398_gene2252	261	annotation not available
1121377.KB906398_gene2253	KB906398_gene2253	568	annotation not available
1121377.KB906398_gene2254	KB906398_gene2254	393	annotation not available
1121377.KB906398_gene2255	KB906398_gene2255	213	annotation not available
1121377.KB906398_gene2256	KB906398_gene2256	160	annotation not available
1121377.KB906398_gene2257	KB906398_gene2257	667	annotation not available
1121377.KB906398_gene2258	KB906398_gene2258	654	annotation not available
1121377.KB906398_gene2259	KB906398_gene2259	509	annotation not available
1121377.KB906398_gene2260	KB906398_gene2260	1041	annotation not available
1121377.KB906398_gene2261	KB906398_gene2261	56	annotation not available
1121377.KB906398_gene2262	KB906398_gene2262	324	annotation not available
1121377.KB906398_gene2263	KB906398_gene2263	228	annotation not available
1121377.KB906398_gene2264	KB906398_gene2264	727	annotation not available
1121377.KB906398_gene2265	KB906398_gene2265	600	annotation not available
1121377.KB906398_gene2266	KB906398_gene2266	949	annotation not available
1121377.KB906398_gene2267	KB906398_gene2267	228	annotation not available
1121377.KB906398_gene2268	KB906398_gene2268	557	annotation not available
1121377.KB906398_gene2269	KB906398_gene2269	299	annotation not available
1121377.KB906398_gene2270	KB906398_gene2270	240	annotation not available
1121377.KB906398_gene2271	KB906398_gene2271	269	annotation not available
1121377.KB906398_gene2272	KB906398_gene2272	529	annotation not available
1121377.KB906398_gene2273	KB906398_gene2273	206	annotation not available
1121377.KB906398_gene2274	KB906398_gene2274	100	annotation not available
1121377.KB906398_gene2275	KB906398_gene2275	68	annotation not available
1121377.KB906398_gene2276	KB906398_gene2276	150	annotation not available
1121377.KB906398_gene2277	KB906398_gene2277	284	annotation not available
1121377.KB906398_gene2278	KB906398_gene2278	570	annotation not available
1121377.KB906398_gene2279	KB906398_gene2279	276	annotation not available
1121377.KB906398_gene2280	KB906398_gene2280	225	annotation not available
1121377.KB906398_gene2281	KB906398_gene2281	374	annotation not available
1121377.KB906398_gene2282	KB906398_gene2282	225	annotation not available
1121377.KB906398_gene2283	KB906398_gene2283	131	annotation not available
1121377.KB906398_gene2284	KB906398_gene2284	444	annotation not available
1121377.KB906398_gene2285	KB906398_gene2285	335	annotation not available
1121377.KB906398_gene2286	KB906398_gene2286	454	annotation not available
1121377.KB906398_gene2287	KB906398_gene2287	438	annotation not available
1121377.KB906398_gene2288	KB906398_gene2288	289	annotation not available
1121377.KB906398_gene2289	KB906398_gene2289	512	annotation not available
1121377.KB906398_gene2290	KB906398_gene2290	108	annotation not available
1121377.KB906398_gene2291	KB906398_gene2291	187	annotation not available
1121377.KB906398_gene2292	KB906398_gene2292	273	annotation not available
1121377.KB906398_gene2293	KB906398_gene2293	296	annotation not available
1121377.KB906398_gene2294	KB906398_gene2294	90	annotation not available
1121377.KB906398_gene2295	KB906398_gene2295	3548	annotation not available
1121377.KB906398_gene2296	KB906398_gene2296	151	annotation not available
1121377.KB906398_gene2297	KB906398_gene2297	692	annotation not available
1121377.KB906398_gene2298	KB906398_gene2298	27	annotation not available
1121377.KB906398_gene2299	KB906398_gene2299	284	annotation not available
1121377.KB906398_gene2300	KB906398_gene2300	150	annotation not available
1121377.KB906398_gene2301	KB906398_gene2301	182	annotation not available
1121377.KB906398_gene2302	KB906398_gene2302	312	annotation not available
1121377.KB906398_gene2303	KB906398_gene2303	421	annotation not available
1121377.KB906398_gene2304	KB906398_gene2304	57	annotation not available
1121377.KB906398_gene2305	KB906398_gene2305	365	annotation not available
1121377.KB906398_gene2306	KB906398_gene2306	153	annotation not available
1121377.KB906398_gene2307	KB906398_gene2307	642	annotation not available
1121377.KB906398_gene2308	KB906398_gene2308	231	annotation not available
1121377.KB906398_gene2309	KB906398_gene2309	199	annotation not available
1121377.KB906398_gene2310	KB906398_gene2310	324	annotation not available
1121377.KB906398_gene2311	KB906398_gene2311	403	annotation not available
1121377.KB906398_gene2312	KB906398_gene2312	440	annotation not available
1121377.KB906398_gene2313	KB906398_gene2313	229	annotation not available
1121377.KB906398_gene2314	KB906398_gene2314	75	annotation not available
1121377.KB906398_gene2315	KB906398_gene2315	312	annotation not available
1121377.KB906398_gene2316	KB906398_gene2316	308	annotation not available
1121377.KB906398_gene2317	KB906398_gene2317	213	annotation not available
1121377.KB906398_gene2318	KB906398_gene2318	162	annotation not available
1121377.KB906398_gene2319	KB906398_gene2319	367	annotation not available
1121377.KB906398_gene2320	KB906398_gene2320	523	annotation not available
1121377.KB906398_gene2321	KB906398_gene2321	175	annotation not available
1121377.KB906398_gene2322	KB906398_gene2322	217	annotation not available
1121377.KB906398_gene2323	KB906398_gene2323	170	annotation not available
1121377.KB906398_gene2324	KB906398_gene2324	323	annotation not available
1121377.KB906398_gene2325	KB906398_gene2325	147	annotation not available
1121377.KB906398_gene2326	KB906398_gene2326	588	annotation not available
1121377.KB906398_gene2327	KB906398_gene2327	742	annotation not available
1121377.KB906398_gene2328	KB906398_gene2328	125	annotation not available
1121377.KB906398_gene2329	KB906398_gene2329	301	annotation not available
1121377.KB906398_gene2330	KB906398_gene2330	202	annotation not available
1121377.KB906398_gene2331	KB906398_gene2331	175	annotation not available
1121377.KB906398_gene2332	KB906398_gene2332	262	annotation not available
1121377.KB906398_gene2333	KB906398_gene2333	266	annotation not available
1121377.KB906398_gene2334	KB906398_gene2334	149	annotation not available
1121377.KB906398_gene2335	KB906398_gene2335	256	annotation not available
1121377.KB906398_gene2336	KB906398_gene2336	414	annotation not available
1121377.KB906398_gene2337	KB906398_gene2337	286	annotation not available
1121377.KB906398_gene2338	KB906398_gene2338	409	annotation not available
1121377.KB906398_gene2339	KB906398_gene2339	237	annotation not available
1121377.KB906398_gene2340	KB906398_gene2340	214	annotation not available
1121377.KB906398_gene2341	KB906398_gene2341	716	annotation not available
1121377.KB906398_gene2342	KB906398_gene2342	162	annotation not available
1121377.KB906398_gene2343	KB906398_gene2343	92	annotation not available
1121377.KB906398_gene2344	KB906398_gene2344	321	annotation not available
1121377.KB906398_gene2345	KB906398_gene2345	307	annotation not available
1121377.KB906398_gene2346	KB906398_gene2346	493	annotation not available
1121377.KB906398_gene2347	KB906398_gene2347	299	annotation not available
1121377.KB906398_gene2348	KB906398_gene2348	480	annotation not available
1121377.KB906398_gene2349	KB906398_gene2349	442	annotation not available
1121377.KB906398_gene2350	KB906398_gene2350	288	annotation not available
1121377.KB906398_gene2351	KB906398_gene2351	48	annotation not available
1121377.KB906398_gene2352	KB906398_gene2352	96	annotation not available
1121377.KB906398_gene2353	KB906398_gene2353	108	annotation not available
1121377.KB906398_gene2354	KB906398_gene2354	329	annotation not available
1121377.KB906398_gene2355	KB906398_gene2355	114	annotation not available
1121377.KB906398_gene2356	KB906398_gene2356	228	annotation not available
1121377.KB906398_gene2357	KB906398_gene2357	100	annotation not available
1121377.KB906398_gene2358	KB906398_gene2358	294	annotation not available
1121377.KB906398_gene2359	KB906398_gene2359	221	annotation not available
1121377.KB906398_gene2360	KB906398_gene2360	57	annotation not available
1121377.KB906398_gene2361	KB906398_gene2361	418	annotation not available
1121377.KB906398_gene2362	KB906398_gene2362	281	annotation not available
1121377.KB906398_gene2363	KB906398_gene2363	244	annotation not available
1121377.KB906398_gene2364	KB906398_gene2364	133	annotation not available
1121377.KB906398_gene2365	KB906398_gene2365	162	annotation not available
1121377.KB906398_gene2366	KB906398_gene2366	217	annotation not available
1121377.KB906398_gene2367	KB906398_gene2367	310	annotation not available
1121377.KB906398_gene2368	KB906398_gene2368	287	annotation not available
1121377.KB906398_gene2369	KB906398_gene2369	523	annotation not available
1121377.KB906398_gene2370	KB906398_gene2370	582	annotation not available
1121377.KB906398_gene2371	KB906398_gene2371	149	annotation not available
1121377.KB906398_gene2372	KB906398_gene2372	479	annotation not available
1121377.KB906398_gene2373	KB906398_gene2373	292	annotation not available
1121377.KB906398_gene2374	KB906398_gene2374	302	annotation not available
1121377.KB906398_gene2375	KB906398_gene2375	181	annotation not available
